Time,CPU1,CPU2,CPU3,CPU4
1484127842326,0.00,0.00,0.00,0.00
1484127843348,0.00,0.00,0.00,0.00
1484127844370,0.00,0.00,0.00,0.00
1484127845392,0.00,0.00,0.00,0.00
1484127846409,0.00,0.00,0.00,0.00
1484127847431,0.00,0.00,0.00,0.00
1484127848453,0.00,0.00,0.00,0.00
1484127849475,0.00,0.00,0.00,0.00
1484127850497,0.00,0.00,0.00,0.00
1484127851519,0.00,0.00,0.00,0.00
1484127852546,0.00,0.00,0.00,0.00
1484127853568,0.00,0.00,0.00,0.00
1484127854590,0.00,0.00,0.00,0.00
1484127855612,0.00,0.00,0.00,0.99
1484127856635,0.00,0.00,0.00,0.00
1484127857661,0.00,0.00,0.00,0.00
1484127858683,0.00,0.00,0.00,0.00
1484127859705,0.00,0.00,0.99,0.00
1484127860726,0.00,0.00,0.00,0.00
1484127861748,0.00,0.00,0.00,0.00
1484127862775,0.00,0.00,0.00,1.00
1484127863797,0.00,0.00,0.00,0.00
1484127864819,0.00,0.00,0.00,0.00
1484127865841,0.00,0.00,0.00,0.00
1484127866863,0.00,0.00,0.00,0.00
1484127867890,0.00,0.00,0.00,0.00
1484127868911,0.00,0.00,0.00,0.00
1484127869933,0.00,0.00,0.00,0.00
1484127870955,0.00,0.00,0.00,0.99
1484127871977,0.00,1.00,57.58,0.00
1484127873004,35.64,0.00,35.71,5.94
1484127874027,2.00,10.00,72.73,1.01
1484127875050,5.00,7.07,3.03,4.95
1484127876072,0.00,0.00,0.00,0.00
1484127877094,57.58,58.00,61.00,55.56
1484127878139,87.00,91.00,86.00,89.00
1484127879226,77.45,70.71,74.00,74.49
1484127880320,54.90,11.32,38.37,2.44
1484127881358,36.45,35.71,4.95,41.54
1484127882409,31.76,23.26,46.09,8.57
1484127883447,32.98,35.79,43.33,7.78
1484127884493,46.22,23.71,20.22,19.35
1484127885525,35.59,10.31,24.72,26.26
1484127886560,32.43,31.11,18.07,27.84
1484127887598,43.20,2.04,46.84,16.48
1484127888750,43.44,29.29,17.71,13.64
1484127889794,43.44,24.66,4.55,34.09
1484127890825,37.31,23.08,2.70,39.56
1484127891865,38.84,36.00,17.54,32.29
1484127892905,37.60,0.00,40.24,41.05
1484127893940,39.34,40.20,3.94,38.33
1484127894973,42.86,12.87,31.87,11.96
1484127896011,35.86,34.33,35.58,17.71
1484127897053,34.92,7.95,13.92,31.37
1484127898088,41.96,35.87,19.32,21.57
1484127899121,39.05,35.48,59.00,19.57
1484127900156,48.74,34.74,100.00,20.41
1484127901186,42.62,28.72,30.77,28.12
1484127902234,43.20,17.72,17.39,17.00
1484127903348,47.86,8.24,18.28,26.32
1484127904382,45.38,13.10,12.90,32.32
1484127905421,37.19,22.73,8.65,29.59
1484127906457,40.87,20.19,25.00,36.00
1484127907487,38.14,31.25,36.51,2.41
1484127908538,35.58,18.92,39.32,16.25
1484127909572,34.48,10.31,27.16,38.61
1484127910607,47.52,6.74,22.92,36.36
1484127911641,19.79,33.33,43.31,7.61
1484127912679,31.82,36.46,41.91,11.83
1484127913720,32.98,10.11,34.38,25.29
1484127914747,17.17,3.70,34.74,50.00
1484127915781,44.80,11.46,36.67,15.12
1484127916817,39.20,22.89,50.55,17.20
1484127917850,43.90,1.04,20.93,31.87
1484127918885,47.90,4.35,27.17,22.73
1484127919934,16.87,21.05,38.52,20.69
1484127920974,25.51,36.96,29.20,8.57
1484127922004,40.48,21.43,33.61,18.37
1484127923042,19.15,34.88,42.06,18.68
1484127924078,25.00,14.89,36.28,34.44
1484127925109,36.78,21.43,37.04,22.89
1484127926148,42.42,1.14,39.56,37.72
1484127927184,25.26,26.53,32.63,34.91
1484127928227,17.65,36.21,28.42,31.11
1484127929260,30.69,22.22,31.03,22.22
1484127930309,4.49,36.84,40.16,19.35
1484127931341,2.97,29.55,37.80,30.68
1484127932379,1.01,34.09,39.52,38.20
1484127933418,4.26,43.01,41.22,29.21
1484127934448,18.60,34.74,39.69,2.15
1484127935485,10.64,40.98,40.86,22.99
1484127936521,27.91,37.72,58.14,13.39
1484127937551,26.32,76.29,22.11,55.96
1484127938587,27.37,27.84,40.20,44.62
1484127939642,6.12,19.59,19.39,13.00
1484127940694,0.00,0.00,0.00,0.00
1484127941716,0.00,0.99,0.00,0.00
1484127942739,0.00,0.00,0.00,0.00
1484127943761,0.00,0.00,0.00,0.00
1484127944783,13.00,1.01,1.98,16.00
1484127945806,8.08,0.00,0.00,0.00
1484127946828,0.00,0.00,0.00,0.00
1484127947849,0.00,0.00,0.00,0.00
1484127948877,0.00,0.00,0.00,0.00
1484127949899,0.00,1.00,0.00,0.00
1484127950921,0.00,0.99,0.00,0.00
1484127951943,0.00,0.00,0.00,0.00
1484127952964,0.00,0.00,0.00,0.00
1484127953986,0.00,0.00,0.00,0.00
1484127955008,0.00,0.00,0.00,0.00
1484127956030,0.00,0.00,0.00,0.00
1484127957052,0.00,0.00,0.00,0.00
1484127958074,0.00,0.00,0.00,0.00
1484127959096,0.00,0.00,0.00,32.00
1484127960118,0.00,0.00,0.00,80.20
1484127961141,0.00,0.00,0.00,0.00
1484127962162,0.00,0.00,0.00,0.00
1484127963179,0.00,0.00,0.00,0.99
1484127964196,0.00,0.00,0.00,0.00
1484127965223,0.00,0.00,0.00,0.00
1484127966244,0.00,0.00,0.00,0.00
1484127967266,0.00,0.00,0.00,0.00
1484127968288,0.00,0.00,0.00,0.00
1484127969309,0.00,0.00,0.00,0.00
1484127971332,0.00,0.00,0.00,0.99
1484127972353,0.00,0.00,0.00,0.00
1484127973375,0.00,0.00,0.00,0.00
1484127974397,0.00,0.00,0.00,0.00
1484127975419,0.00,0.00,0.00,0.00
1484127976557,0.00,0.00,0.00,0.00
1484127977578,0.00,0.00,0.00,0.00
1484127978600,0.00,0.00,0.00,0.99
